                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2629,                 1.7357,                 2.9969,                 1.0218,                0.97275,                0.87768,                0.93505,                0.61823,                0.91899,                0.79508,                0.83549,                0.39019,                 1.1159,                  2.099,                 1.4779,                0.88607,                0.00016,                0.00016,                0.00016
                      2,                 1.0602,                 1.3535,                 1.0339,                0.86397,                0.86785,                0.90984,                0.88654,                0.57744,                0.82368,                0.86066,                 0.8052,                0.38986,                 1.1955,                 1.7444,                 1.4254,                 0.9318,             0.00033752,             0.00033752,             0.00033752
                      3,                 1.0932,                 1.4472,                0.96761,                0.89811,                0.70507,                0.72504,                0.68727,                0.43793,                0.66168,                0.67213,                0.60206,                0.26045,                 1.2159,                 2.3576,                 2.0056,                0.96039,             0.00051243,             0.00051243,             0.00051243
                      4,                 1.0912,                 1.1844,                0.87488,                0.90013,                0.08128,                0.92623,                0.08538,                0.05051,                0.07678,                0.87705,                 0.0777,                0.03089,                 1.2066,                 2.2209,                 87.284,                0.91702,             0.00068471,             0.00068471,             0.00068471
                      5,                 1.1347,                   1.46,                0.78978,                0.90736,                0.96553,                0.95902,                0.98387,                0.62933,                0.92409,                0.91803,                0.92653,                0.42318,                 1.1919,                 2.2217,                 1.0482,                0.93771,             0.00085438,             0.00085438,             0.00085438
                      6,                 1.1596,                 1.3416,                0.79019,                0.89642,                 0.1226,                0.92623,                0.12194,                0.06687,                0.12152,                0.91803,                0.12023,                0.05599,                 1.3657,                 2.3232,                 108.53,                0.97666,              0.0010214,              0.0010214,              0.0010214
                      7,                  1.136,                 1.4432,                0.96476,                0.90755,                0.84342,                0.92722,                0.87605,                0.54538,                0.78378,                0.86164,                0.78996,                0.31928,                 1.2937,                 3.4855,                 2.8696,                0.97586,              0.0011858,              0.0011858,              0.0011858
                      8,                 1.2323,                 1.4469,                0.98905,                0.92175,                 0.8363,                 0.9631,                0.97938,                0.59749,                0.81505,                0.93921,                0.92706,                0.39418,                 1.3418,                 3.2609,                 1.8716,                0.98574,              0.0013476,              0.0013476,              0.0013476
                      9,                 1.2989,                  1.604,                0.82896,                0.94437,                0.92449,                0.90315,                0.96063,                0.50024,                0.87306,                0.86066,                0.85245,                0.34327,                 1.4526,                 3.1966,                 1.2632,                 1.0304,              0.0015068,              0.0015068,              0.0015068
                     10,                  1.352,                 1.5035,                 0.7637,                0.94984,                0.98865,                0.94262,                0.96428,                0.47282,                0.87015,                0.82787,                0.78552,                0.27071,                 1.6539,                 5.5967,                 1.1446,                 1.0452,              0.0016634,              0.0016634,              0.0016634
                     11,                  1.344,                 1.3858,                0.98208,                0.95836,                0.60682,                0.64754,                0.60266,                0.35751,                0.55516,                 0.5831,                0.50515,                0.18574,                 1.3744,                 4.2908,                 3.8145,                0.98533,              0.0018173,              0.0018173,              0.0018173
